stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
116,116,Blasco Ibáñez - Dr. Manuel Candela,,4372740.08,728066.748,,,0,
1160,1160,Passeig Marítim - Vicent la Roda,,4373354.488,730111.046,,,0,
1161,1161,Passeig Marítim - Font d'en Carrós,,4373602.424,730099.766,,,0,
1162,1162,Passeig Marítim - Mendizábal,,4373854.915,730046.821,,,0,
1163,1163,Isabel de Villena - Font d'en Carrós,,4373587.616,730003.28,,,0,
1164,1164,Isabel de Villena - Vicent la Roda,,4373344.137,730005.589,,,0,
1165,1165,Centre de Salut Malva-rosa,,4373108.866,730015.139,,,0,
1168,1168,Comissaria Policia - Marítim,,4371575.276,729821.032,,,0,
117,117,Ramon Llull - Escultor Alfons Gabino,,4372864.436,728188.191,,,0,
1170,1170,Foc - Amadeu Desfilis,,4375510.042,724019.628,,,0,
1175,1175,Tres Creus - Segona República Espanyola,,4370893.009,723453.914,,,0,
1176,1176,Tres Creus - Dr. Pérez Feliu,,4371108.874,723342.782,,,0,
1177,1177,Tres Creus - Tres Forques,,4371349.649,723208.814,,,0,
1183,1183,General Avilés - Dr. Nicasi Benlloch,,4374185.534,724333.04,,,0,
1184,1184,General Avilés - Miguel Servet (parell),,4374055.503,724116.161,,,0,
1190,1190,Tres Creus - dels Hostalers,,4371070.055,723350.969,,,0,
1199,1199,Comte de Torrefiel - Escultor Piquer,,4374677.933,725695.654,,,0,
12,12,Cabanyal,,4372529.077,729875.484,,,0,
1210,1210,Blasco Ibáñez - Serradora,,4372408.483625,729195.77225,,,0,
1211,1211,Blasco Ibáñez (imparell) - José María Haro,,4372443.687,729117.143,,,0,
1217,1217,Dr. Peset Aleixandre - Felip Rinaldi,,4374634.556,725640.712,,,0,
1218,1218,Palau de l'Exposició,,4372657.811,726905.494,,,0,
1223,1223,Hospital General - Urgències,,4371810.68,723120.907,,,0,
1225,1225,Camí nou de Picanya - Arquitecte Segura de Lago,,4370631.776,723354.634,,,0,
1229,1229,Orriols - Sant Miquel dels Reis,,4375229.188,726246.936,,,0,
1231,1231,Dolores Marqués - Benicarló,,4373993.568,726754.738,,,0,
1232,1232,Dolores Marqués - Reverend José María Pinazo,,4374105.663,726799.093,,,0,
1233,1233,Dolores Marqués - Assagador d'Alboraia,,4374286.434,726862.509,,,0,
1239,1239,Primat Reig - Xàbia,,4373271.298,727361.216,,,0,
124,124,Blasco Ibáñez - José María Orense,,4372552.919,728806.789,,,0,
